epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,634.466,2.14192,5.45515,2.25445,0.19589,0.2093,0.11526,0.03894,2.26691,3.44656,2.55668,0.00333111,0.00333111,0.00333111
2,1265.6,2.05987,2.81626,2.16914,0.03046,0.35306,0.04804,0.01623,2.49347,4.53211,2.96152,0.00659847,0.00659847,0.00659847
3,1895.11,2.12328,2.89354,2.25689,0.00494,0.01429,0.0029,0.00089,3.00146,5.54841,3.30589,0.00979982,0.00979982,0.00979982
4,2533.51,2.14007,2.88104,2.25037,0.23496,0.32245,0.1734,0.06229,2.08283,3.24849,2.39911,0.009703,0.009703,0.009703
5,3169.39,2.05431,2.75689,2.18576,0.28637,0.17449,0.15438,0.04789,2.31843,3.08685,2.51018,0.009604,0.009604,0.009604
6,3794.99,2.00159,2.64394,2.1521,0.25696,0.23265,0.16553,0.05684,2.14464,2.93457,2.38426,0.009505,0.009505,0.009505
7,4425.48,1.96756,2.6107,2.12703,0.25344,0.09796,0.11318,0.04076,2.28087,3.41658,2.53305,0.009406,0.009406,0.009406
8,5061.1,1.96756,2.58632,2.10499,0.36664,0.34024,0.2855,0.10644,2.04331,2.54473,2.29822,0.009307,0.009307,0.009307
9,5697.49,1.935,2.53846,2.07216,0.3097,0.32143,0.24702,0.09564,2.051,2.64248,2.39395,0.009208,0.009208,0.009208
10,6332.05,1.93028,2.51534,2.06596,0.25819,0.0602,0.06006,0.02065,2.5092,4.05572,2.86127,0.009109,0.009109,0.009109
11,6956.19,1.92126,2.48016,2.06922,0.35011,0.38776,0.2931,0.11377,1.98656,2.50837,2.22919,0.00901,0.00901,0.00901
12,7591.48,1.89965,2.44288,2.04442,0.31566,0.30264,0.23096,0.08745,2.08441,2.7931,2.39809,0.008911,0.008911,0.008911
13,8226.56,1.89148,2.45999,2.03987,0.3498,0.23386,0.21001,0.08082,2.04309,2.81391,2.37153,0.008812,0.008812,0.008812
14,8861.77,1.88864,2.47625,2.03615,0.32538,0.38061,0.30015,0.11764,1.97532,2.48118,2.27006,0.008713,0.008713,0.008713
15,9497.71,1.8672,2.46033,2.0437,0.3623,0.36735,0.31542,0.12557,1.9742,2.45779,2.25799,0.008614,0.008614,0.008614
16,10124.6,1.85998,2.43229,2.03496,0.35189,0.38061,0.32042,0.12793,1.96068,2.45215,2.23151,0.008515,0.008515,0.008515
17,10760.3,1.85476,2.40035,2.00486,0.37462,0.38692,0.31428,0.12793,1.9606,2.457,2.20625,0.008416,0.008416,0.008416
18,11394.5,1.85607,2.40096,2.0142,0.36425,0.37551,0.32007,0.1331,1.94989,2.35862,2.20813,0.008317,0.008317,0.008317
19,12030.7,1.84582,2.37378,2.01251,0.35332,0.38367,0.31284,0.12869,1.92654,2.40453,2.22957,0.008218,0.008218,0.008218
20,12667.5,1.83787,2.39541,1.98717,0.35186,0.38943,0.31058,0.13037,1.91208,2.4526,2.20455,0.008119,0.008119,0.008119
21,13295.9,1.84577,2.37572,2.01306,0.37713,0.39796,0.32731,0.13648,1.92876,2.40501,2.23197,0.00802,0.00802,0.00802
22,13932.5,1.83143,2.34562,1.99655,0.37419,0.36327,0.32686,0.13327,1.94608,2.43469,2.23799,0.007921,0.007921,0.007921
23,14567.6,1.8182,2.35818,1.97541,0.37006,0.4,0.3292,0.13652,1.93244,2.36224,2.21565,0.007822,0.007822,0.007822
24,15203.7,1.83127,2.36259,1.98235,0.36597,0.39403,0.33155,0.13896,1.92547,2.39996,2.21219,0.007723,0.007723,0.007723
25,15840.8,1.81228,2.34293,1.97791,0.37821,0.37959,0.32557,0.13768,1.92649,2.40168,2.20917,0.007624,0.007624,0.007624
26,16469,1.81567,2.33006,1.97275,0.37781,0.38776,0.33041,0.13801,1.93081,2.40449,2.22314,0.007525,0.007525,0.007525
27,17101.7,1.82123,2.32813,1.97944,0.36719,0.40102,0.3352,0.14074,1.91694,2.37644,2.21804,0.007426,0.007426,0.007426
28,17738,1.80402,2.32857,1.97099,0.3717,0.40306,0.33572,0.14125,1.91587,2.38426,2.21293,0.007327,0.007327,0.007327
29,18373.5,1.80336,2.3106,1.97485,0.37234,0.40816,0.34445,0.14463,1.91791,2.36112,2.21673,0.007228,0.007228,0.007228
30,19009.6,1.79872,2.30388,1.95915,0.38538,0.39694,0.34786,0.1468,1.90506,2.35426,2.21134,0.007129,0.007129,0.007129
31,19641.9,1.8033,2.28409,1.95376,0.37751,0.40408,0.3435,0.14679,1.89448,2.35309,2.19066,0.00703,0.00703,0.00703
32,20271.9,1.78855,2.28071,1.95082,0.37896,0.40408,0.34137,0.14556,1.89375,2.34394,2.19017,0.006931,0.006931,0.006931
33,20905.9,1.79511,2.26132,1.95532,0.40217,0.39127,0.3502,0.14844,1.90649,2.34317,2.20048,0.006832,0.006832,0.006832
34,21542.3,1.77586,2.28907,1.95425,0.36742,0.41837,0.34683,0.14812,1.90415,2.33224,2.19797,0.006733,0.006733,0.006733
35,22178.2,1.77816,2.27838,1.95431,0.37979,0.41365,0.34935,0.14942,1.91092,2.31937,2.20468,0.006634,0.006634,0.006634
