epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,22809.2,1.78266,2.24249,1.95391,0.37912,0.41633,0.3549,0.15052,1.91546,2.32575,2.21221,0.006535,0.006535,0.006535
37,23441.2,1.77791,2.25068,1.94877,0.37626,0.42041,0.35277,0.15071,1.91275,2.32013,2.20908,0.006436,0.006436,0.006436
38,24075.2,1.76679,2.24711,1.93804,0.38362,0.41327,0.35513,0.1501,1.91224,2.31886,2.2088,0.006337,0.006337,0.006337
39,24710.1,1.75974,2.25641,1.95461,0.39074,0.4208,0.35786,0.15121,1.9069,2.32232,2.20876,0.006238,0.006238,0.006238
40,25346.4,1.77488,2.24049,1.94997,0.38912,0.41735,0.35495,0.15031,1.9059,2.31911,2.20578,0.006139,0.006139,0.006139
41,25980.3,1.75547,2.23214,1.92914,0.38244,0.41735,0.35422,0.14956,1.90387,2.32707,2.20661,0.00604,0.00604,0.00604
42,26613.1,1.75836,2.24666,1.92839,0.38531,0.41735,0.35456,0.1497,1.90464,2.32796,2.2068,0.005941,0.005941,0.005941
43,27250.7,1.75611,2.24718,1.92472,0.38419,0.41633,0.35211,0.14976,1.90521,2.32273,2.20696,0.005842,0.005842,0.005842
44,27887.7,1.74813,2.21689,1.92172,0.38718,0.41633,0.35235,0.14958,1.90358,2.32248,2.20659,0.005743,0.005743,0.005743
45,28397.9,1.74238,2.21477,1.91411,0.38592,0.42245,0.35348,0.14975,1.90297,2.32443,2.2063,0.005644,0.005644,0.005644
46,28693.6,1.7471,2.18898,1.91275,0.39047,0.42449,0.35317,0.15013,1.90319,2.32662,2.20614,0.005545,0.005545,0.005545
47,28989.5,1.74265,2.19985,1.91788,0.38426,0.43111,0.35411,0.14968,1.90407,2.32631,2.20595,0.005446,0.005446,0.005446
48,29285.8,1.76077,2.16674,1.9223,0.38568,0.42755,0.35588,0.1495,1.90508,2.32856,2.20637,0.005347,0.005347,0.005347
49,29581.7,1.74262,2.17112,1.91952,0.38873,0.43061,0.35728,0.15076,1.90478,2.32695,2.20564,0.005248,0.005248,0.005248
50,29877.6,1.72664,2.17248,1.91234,0.38546,0.43061,0.35651,0.15036,1.90677,2.32607,2.20776,0.005149,0.005149,0.005149
51,30173.2,1.73601,2.17311,1.91831,0.38178,0.43417,0.35695,0.15112,1.90571,2.32569,2.20771,0.00505,0.00505,0.00505
52,30468.2,1.72593,2.1656,1.90786,0.38304,0.43713,0.35897,0.15201,1.90716,2.32365,2.20849,0.004951,0.004951,0.004951
53,30764.3,1.72528,2.1511,1.90191,0.38559,0.44059,0.35945,0.15193,1.90655,2.32157,2.20857,0.004852,0.004852,0.004852
54,31059.5,1.7189,2.14051,1.88892,0.38504,0.43878,0.35812,0.15161,1.90718,2.31992,2.20873,0.004753,0.004753,0.004753
55,31355.5,1.71785,2.14718,1.90124,0.38437,0.43673,0.35877,0.15208,1.90674,2.31888,2.20933,0.004654,0.004654,0.004654
56,31650.9,1.71185,2.13416,1.89502,0.38275,0.43405,0.35822,0.15163,1.90681,2.31905,2.21023,0.004555,0.004555,0.004555
57,31946.8,1.7159,2.1513,1.88688,0.38265,0.42882,0.35875,0.15183,1.90695,2.31725,2.20996,0.004456,0.004456,0.004456
58,32242.6,1.70608,2.11031,1.8912,0.3857,0.42245,0.35995,0.15192,1.90801,2.31519,2.21134,0.004357,0.004357,0.004357
59,32538.6,1.71195,2.10449,1.89033,0.38409,0.42755,0.36152,0.15282,1.90791,2.31801,2.21199,0.004258,0.004258,0.004258
60,32833.8,1.69327,2.106,1.88608,0.38832,0.42857,0.36108,0.15295,1.90902,2.3154,2.21251,0.004159,0.004159,0.004159
61,33129.1,1.70488,2.10404,1.8884,0.38478,0.43163,0.36064,0.15319,1.90955,2.31425,2.21345,0.00406,0.00406,0.00406
62,33424.4,1.6925,2.07623,1.87533,0.38728,0.43367,0.36165,0.15248,1.90942,2.31303,2.21404,0.003961,0.003961,0.003961
63,33720.4,1.68352,2.08227,1.87369,0.38796,0.43265,0.36128,0.15274,1.90832,2.31437,2.21427,0.003862,0.003862,0.003862
64,34016.4,1.67616,2.07712,1.87074,0.3873,0.43163,0.3608,0.15291,1.90729,2.31421,2.21447,0.003763,0.003763,0.003763
65,34312.3,1.67279,2.07033,1.86584,0.38436,0.42875,0.36066,0.15319,1.90708,2.31471,2.21483,0.003664,0.003664,0.003664
66,34608.7,1.664,2.04273,1.85687,0.38833,0.42755,0.36183,0.15416,1.90728,2.31487,2.21578,0.003565,0.003565,0.003565
67,34905,1.67134,2.04023,1.85392,0.3895,0.43488,0.36232,0.15425,1.9084,2.3116,2.21701,0.003466,0.003466,0.003466
68,35201.2,1.65875,2.03426,1.85742,0.39304,0.43612,0.36259,0.15443,1.90852,2.31064,2.21841,0.003367,0.003367,0.003367
69,35497.4,1.66236,2.02373,1.85807,0.39049,0.43878,0.36295,0.15472,1.91012,2.30872,2.22051,0.003268,0.003268,0.003268
70,35793.9,1.64637,2.00426,1.84662,0.38656,0.43776,0.36177,0.15483,1.91148,2.30595,2.22221,0.003169,0.003169,0.003169
71,36091.1,1.64224,2.0079,1.84065,0.3892,0.43469,0.36198,0.15493,1.91292,2.30346,2.22436,0.00307,0.00307,0.00307
72,36387.2,1.63798,1.98748,1.84012,0.38679,0.43469,0.36029,0.15539,1.91336,2.30033,2.22592,0.002971,0.002971,0.002971
73,36683.3,1.6437,1.99411,1.83699,0.38677,0.43776,0.36051,0.15512,1.91281,2.29931,2.2266,0.002872,0.002872,0.002872
74,36979.1,1.62183,1.98098,1.81638,0.38922,0.4449,0.36154,0.15564,1.91355,2.29922,2.22895,0.002773,0.002773,0.002773
75,37273.7,1.62218,2.00421,1.82737,0.38982,0.44592,0.36132,0.15499,1.9135,2.29757,2.23009,0.002674,0.002674,0.002674
76,37568.7,1.6167,1.95348,1.82505,0.388,0.44184,0.36192,0.15531,1.91363,2.29457,2.23034,0.002575,0.002575,0.002575
77,37863.9,1.60955,1.95515,1.81101,0.3814,0.44592,0.36215,0.15515,1.91468,2.29227,2.2321,0.002476,0.002476,0.002476
78,38159.5,1.60429,1.95486,1.81241,0.38012,0.44796,0.36158,0.15545,1.91521,2.29244,2.23361,0.002377,0.002377,0.002377
79,38454.9,1.58567,1.91159,1.79519,0.37931,0.44592,0.36129,0.15574,1.91641,2.29038,2.23485,0.002278,0.002278,0.002278
80,38751.8,1.58615,1.87921,1.80599,0.37936,0.44694,0.36112,0.15538,1.91734,2.28814,2.2367,0.002179,0.002179,0.002179
81,39047.3,1.58213,1.90486,1.80104,0.38257,0.44388,0.36134,0.15541,1.91801,2.28891,2.2374,0.00208,0.00208,0.00208
82,39344.2,1.57598,1.87558,1.78762,0.38656,0.44694,0.36093,0.15587,1.91907,2.28872,2.23941,0.001981,0.001981,0.001981
83,39640.2,1.56539,1.89211,1.78312,0.38553,0.44694,0.3614,0.15583,1.92101,2.28741,2.2416,0.001882,0.001882,0.001882
84,39936.2,1.56994,1.85206,1.78853,0.38514,0.4455,0.3611,0.15597,1.9223,2.28657,2.24367,0.001783,0.001783,0.001783
85,40232.1,1.54931,1.81643,1.76788,0.38479,0.44388,0.36191,0.15602,1.92399,2.28381,2.24629,0.001684,0.001684,0.001684
86,40527.8,1.54483,1.83058,1.77611,0.38489,0.44184,0.36212,0.15596,1.92532,2.28383,2.24842,0.001585,0.001585,0.001585
87,40823.9,1.52196,1.82387,1.75442,0.38646,0.44284,0.36217,0.15609,1.92897,2.2805,2.25254,0.001486,0.001486,0.001486
88,41119.8,1.52328,1.79383,1.75333,0.3816,0.44592,0.36317,0.15654,1.93051,2.27959,2.25445,0.001387,0.001387,0.001387
89,41416.5,1.51775,1.80168,1.74453,0.38031,0.45,0.36315,0.15622,1.9323,2.27693,2.25686,0.001288,0.001288,0.001288
90,41712.6,1.50565,1.7808,1.73239,0.38097,0.45,0.36318,0.15644,1.93438,2.27478,2.25905,0.001189,0.001189,0.001189
91,42007.5,1.5319,1.73768,1.87518,0.38013,0.44796,0.36216,0.15603,1.93669,2.27187,2.26159,0.00109,0.00109,0.00109
92,42301.8,1.50666,1.69784,1.86607,0.3808,0.45306,0.36296,0.15617,1.93905,2.26894,2.2654,0.000991,0.000991,0.000991
93,42596.7,1.49649,1.6461,1.85995,0.37945,0.45204,0.36324,0.15628,1.94157,2.26491,2.2695,0.000892,0.000892,0.000892
94,42891.4,1.47454,1.64083,1.84669,0.38007,0.44793,0.36276,0.1561,1.94407,2.26158,2.27247,0.000793,0.000793,0.000793
95,43186.7,1.47295,1.60281,1.83601,0.38114,0.4551,0.36217,0.15603,1.94696,2.25773,2.27684,0.000694,0.000694,0.000694
96,43481.6,1.45606,1.57025,1.82102,0.37819,0.46112,0.3618,0.15562,1.94859,2.25514,2.27927,0.000595,0.000595,0.000595
97,43777.1,1.4471,1.55232,1.81238,0.37549,0.46122,0.36122,0.15464,1.95064,2.25179,2.28275,0.000496,0.000496,0.000496
98,44072.1,1.43402,1.59084,1.80676,0.37508,0.46735,0.36239,0.15479,1.95367,2.2498,2.28665,0.000397,0.000397,0.000397
99,44366.9,1.41166,1.53311,1.78685,0.37391,0.46531,0.36264,0.15503,1.95783,2.24931,2.29089,0.000298,0.000298,0.000298
100,44662.5,1.40719,1.54686,1.78154,0.37598,0.46429,0.36203,0.15469,1.961,2.24759,2.29541,0.000199,0.000199,0.000199
