epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12131,0.76036,1.97861,1.28346,0.46335,0.43288,0.41009,0.26084,1.10674,1.84338,1.07877,0.005842,0.005842,0.005842
44,12410,0.74113,1.93235,1.26739,0.49446,0.46301,0.425,0.27093,1.12643,1.75954,1.09144,0.005743,0.005743,0.005743
45,12707.6,0.75395,1.93495,1.27589,0.48246,0.4411,0.41073,0.2613,1.1247,1.82724,1.07801,0.005644,0.005644,0.005644
46,12986.1,0.75057,1.92842,1.27266,0.43975,0.47671,0.43137,0.27117,1.12265,1.76457,1.08174,0.005545,0.005545,0.005545
47,13284,0.7352,1.9689,1.26849,0.47171,0.44658,0.41341,0.26573,1.13863,1.79035,1.06237,0.005446,0.005446,0.005446
48,13560.5,0.73266,1.93296,1.25894,0.50755,0.4,0.42314,0.27574,1.09784,1.78101,1.05729,0.005347,0.005347,0.005347
49,13857.9,0.73967,1.89714,1.26787,0.49552,0.43014,0.42389,0.2732,1.09278,1.76292,1.04296,0.005248,0.005248,0.005248
50,14155.6,0.72124,1.943,1.25165,0.4497,0.4612,0.41871,0.2713,1.06489,1.749,1.00974,0.005149,0.005149,0.005149
51,14434.2,0.73895,1.9465,1.26451,0.46655,0.44384,0.42563,0.2796,1.07959,1.73934,1.02565,0.00505,0.00505,0.00505
52,14732,0.72129,1.90721,1.25319,0.47711,0.47945,0.43857,0.2865,1.08307,1.7453,1.04284,0.004951,0.004951,0.004951
53,15009.4,0.74209,1.88151,1.26469,0.4791,0.46849,0.45116,0.28999,1.11726,1.71954,1.07039,0.004852,0.004852,0.004852
54,15308.1,0.7362,1.87109,1.26952,0.48855,0.48493,0.45932,0.29641,1.12237,1.68913,1.07066,0.004753,0.004753,0.004753
55,15585.6,0.72842,1.93135,1.26374,0.49403,0.50291,0.46934,0.30669,1.10187,1.6598,1.05357,0.004654,0.004654,0.004654
56,15884.1,0.72439,1.85424,1.25677,0.45981,0.47397,0.43665,0.2882,1.09751,1.71289,1.04394,0.004555,0.004555,0.004555
57,16163.4,0.71048,1.82447,1.24523,0.49172,0.48493,0.44953,0.30028,1.08751,1.69884,1.0399,0.004456,0.004456,0.004456
58,16461.6,0.69886,1.85574,1.23581,0.50133,0.46272,0.45129,0.30072,1.0707,1.69966,1.02716,0.004357,0.004357,0.004357
59,16737.6,0.71262,1.8404,1.25498,0.47347,0.47397,0.45886,0.3049,1.08597,1.69429,1.02677,0.004258,0.004258,0.004258
60,17035.3,0.71024,1.83782,1.24665,0.50643,0.48219,0.4734,0.31474,1.08529,1.69246,1.02934,0.004159,0.004159,0.004159
61,17329.9,0.69803,1.79054,1.2341,0.51998,0.47671,0.47287,0.31706,1.07401,1.66355,1.02366,0.00406,0.00406,0.00406
62,17612.2,0.6904,1.79064,1.22947,0.50963,0.48493,0.47719,0.31854,1.07409,1.65566,1.01238,0.003961,0.003961,0.003961
63,17909.6,0.67336,1.79438,1.23132,0.5174,0.48493,0.49027,0.32488,1.08203,1.62956,1.001,0.003862,0.003862,0.003862
64,18186.7,0.68897,1.7812,1.24163,0.54437,0.50137,0.50929,0.33747,1.0773,1.58499,1.00607,0.003763,0.003763,0.003763
65,18484.2,0.67578,1.78932,1.21641,0.5065,0.51507,0.50139,0.33303,1.07589,1.57362,1.00502,0.003664,0.003664,0.003664
66,18762.8,0.68122,1.75149,1.2278,0.52402,0.51507,0.49918,0.33469,1.07384,1.56438,1.00969,0.003565,0.003565,0.003565
67,19059.8,0.69656,1.77636,1.2346,0.51679,0.53699,0.50307,0.33411,1.08548,1.56317,1.01999,0.003466,0.003466,0.003466
68,19338.4,0.66,1.73926,1.22076,0.51485,0.53699,0.49929,0.33382,1.0748,1.56957,1.01391,0.003367,0.003367,0.003367
69,19637.2,0.6754,1.71514,1.22416,0.53999,0.521,0.50961,0.34208,1.07864,1.56607,1.02302,0.003268,0.003268,0.003268
70,19913.9,0.67786,1.81601,1.21946,0.53767,0.52877,0.50944,0.34313,1.07745,1.56372,1.02307,0.003169,0.003169,0.003169
71,20210.2,0.67382,1.73861,1.22784,0.52468,0.53151,0.50608,0.34031,1.06692,1.56755,1.01701,0.00307,0.00307,0.00307
72,20503,0.66273,1.7197,1.22846,0.52395,0.52877,0.50605,0.34394,1.07254,1.55958,1.01586,0.002971,0.002971,0.002971
73,20785,0.65472,1.68444,1.20739,0.52343,0.56438,0.51486,0.34822,1.06546,1.54074,1.00296,0.002872,0.002872,0.002872
74,21082.2,0.66081,1.69846,1.20747,0.53698,0.54521,0.51478,0.34875,1.06335,1.5373,1.0026,0.002773,0.002773,0.002773
75,21360.1,0.66054,1.6873,1.21367,0.54587,0.54007,0.51738,0.34899,1.0652,1.53428,1.00129,0.002674,0.002674,0.002674
76,21658.2,0.65212,1.68002,1.21906,0.5413,0.53992,0.51573,0.34735,1.0625,1.5309,0.99762,0.002575,0.002575,0.002575
77,21935.5,0.66123,1.67045,1.21959,0.54305,0.54795,0.51992,0.34904,1.06476,1.52613,0.99958,0.002476,0.002476,0.002476
78,22233.6,0.64729,1.66511,1.20292,0.54727,0.55342,0.52758,0.35259,1.06201,1.52018,1.00204,0.002377,0.002377,0.002377
79,22510.9,0.63833,1.69615,1.1995,0.55032,0.54795,0.52714,0.35178,1.06391,1.5177,1.00282,0.002278,0.002278,0.002278
80,22807.8,0.63011,1.64355,1.19116,0.55775,0.56164,0.53128,0.35277,1.06573,1.51508,1.00109,0.002179,0.002179,0.002179
81,23083.7,0.63624,1.64806,1.20051,0.55198,0.5637,0.52819,0.3497,1.06721,1.5134,0.99995,0.00208,0.00208,0.00208
82,23381.7,0.6274,1.62388,1.1941,0.55249,0.56712,0.52978,0.35029,1.06658,1.51485,0.99573,0.001981,0.001981,0.001981
83,23674,0.62679,1.61002,1.19309,0.55802,0.5726,0.53106,0.35162,1.06729,1.50922,0.99434,0.001882,0.001882,0.001882
84,23956.4,0.63583,1.6299,1.19861,0.55236,0.57808,0.53288,0.35456,1.0705,1.50274,0.99366,0.001783,0.001783,0.001783
85,24253.7,0.64209,1.6223,1.21254,0.56714,0.5726,0.5337,0.35618,1.07014,1.50122,0.99177,0.001684,0.001684,0.001684
86,24531.4,0.62511,1.63793,1.18348,0.56766,0.56837,0.53743,0.35558,1.07082,1.4969,0.99212,0.001585,0.001585,0.001585
